




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	Crl02vSal02_NegFC_DEGs.txt (Sus scrofa)
Reference List:	FS27_BackgroundGenes.txt (Sus scrofa)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	FS27_BackgroundGenes.txt - REFLIST (12250)	Crl02vSal02_NegFC_DEGs.txt (152)	Crl02vSal02_NegFC_DEGs.txt (expected)	Crl02vSal02_NegFC_DEGs.txt (over/under)	Crl02vSal02_NegFC_DEGs.txt (fold Enrichment)	Crl02vSal02_NegFC_DEGs.txt (raw P-value)	Crl02vSal02_NegFC_DEGs.txt (FDR)
regulation of Kit signaling pathway (GO:1900234)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
P granule organization (GO:0030719)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
cellular response to erythropoietin (GO:0036018)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
response to erythropoietin (GO:0036017)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
cellular response to interleukin-3 (GO:0036016)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
response to interleukin-3 (GO:0036015)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
protein localization to endosome (GO:0036010)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
negative regulation of astrocyte activation (GO:0061889)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of astrocyte activation (GO:0061888)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of single-species biofilm formation in or on host organism (GO:1900229)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of single-species biofilm formation in or on host organism (GO:1900228)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of NLRP3 inflammasome complex assembly (GO:1900227)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of mini excitatory postsynaptic potential (GO:0061885)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of NLRP3 inflammasome complex assembly (GO:1900226)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of mini excitatory postsynaptic potential (GO:0061884)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of NLRP3 inflammasome complex assembly (GO:1900225)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
positive regulation of nodal signaling pathway involved in determination of lateral mesoderm left/right asymmetry (GO:1900224)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of amyloid-beta clearance (GO:1900223)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of amyloid-beta clearance (GO:1900222)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of amyloid-beta clearance (GO:1900221)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
semaphorin-plexin signaling pathway involved in bone trabecula morphogenesis (GO:1900220)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to macrophage colony-stimulating factor stimulus (GO:0036006)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
response to macrophage colony-stimulating factor (GO:0036005)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
positive regulation of transcription from RNA polymerase II promoter in response to stress (GO:0036003)	13	0	.16	-	 < 0.01	1.00E00	1.00E00
positive regulation of cardiolipin metabolic process (GO:1900210)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
sulfur amino acid catabolic process (GO:0000098)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of cardiolipin metabolic process (GO:1900208)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
G2/M transition of mitotic cell cycle (GO:0000086)	32	0	.40	-	 < 0.01	1.00E00	1.00E00
regulation of transcription involved in G1/S transition of mitotic cell cycle (GO:0000083)	16	0	.20	-	 < 0.01	1.00E00	1.00E00
G1/S transition of mitotic cell cycle (GO:0000082)	46	0	.57	-	 < 0.01	1.00E00	1.00E00
mitotic G1 phase (GO:0000080)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum stress-induced pre-emptive quality control (GO:0061857)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079)	60	0	.74	-	 < 0.01	1.00E00	1.00E00
DNA damage checkpoint signaling (GO:0000077)	69	0	.86	-	 < 0.01	1.00E00	1.00E00
DNA replication checkpoint signaling (GO:0000076)	12	0	.15	-	 < 0.01	1.00E00	1.00E00
cell cycle checkpoint signaling (GO:0000075)	103	0	1.28	-	 < 0.01	6.40E-01	1.00E00
antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	19	0	.24	-	 < 0.01	1.00E00	1.00E00
microtubule organizing center localization (GO:0061842)	25	0	.31	-	 < 0.01	1.00E00	1.00E00
establishment of protein localization to extracellular region (GO:0035592)	52	0	.65	-	 < 0.01	1.00E00	1.00E00
protein localization to tricellular tight junction (GO:0061833)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ribosomal small subunit export from nucleus (GO:0000056)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
ribosomal large subunit export from nucleus (GO:0000055)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
ribosomal subunit export from nucleus (GO:0000054)	11	0	.14	-	 < 0.01	1.00E00	1.00E00
citrulline metabolic process (GO:0000052)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
urea cycle (GO:0000050)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
G protein-coupled purinergic receptor signaling pathway (GO:0035588)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
calcium-mediated signaling using extracellular calcium source (GO:0035585)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
calcium-mediated signaling using intracellular calcium source (GO:0035584)	13	0	.16	-	 < 0.01	1.00E00	1.00E00
sequestering of TGFbeta in extracellular matrix (GO:0035583)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
sequestering of BMP in extracellular matrix (GO:0035582)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
sequestering of extracellular ligand from receptor (GO:0035581)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
telomeric D-loop disassembly (GO:0061820)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of guanyl-nucleotide exchange factor activity (GO:1905099)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of guanyl-nucleotide exchange factor activity (GO:1905098)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of guanyl-nucleotide exchange factor activity (GO:1905097)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
autophagosome assembly (GO:0000045)	59	0	.73	-	 < 0.01	1.00E00	1.00E00
negative regulation of parkin-mediated stimulation of mitophagy in response to mitochondrial depolarization (GO:1905090)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
transition metal ion transport (GO:0000041)	56	0	.69	-	 < 0.01	1.00E00	1.00E00
telomeric DNA-containing double minutes formation (GO:0061819)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
histone H4-K20 demethylation (GO:0035574)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum-plasma membrane tethering (GO:0061817)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of parkin-mediated stimulation of mitophagy in response to mitochondrial depolarization (GO:1905089)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
electron transport coupled proton transport (GO:0015990)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
very long-chain fatty acid metabolic process (GO:0000038)	23	0	.29	-	 < 0.01	1.00E00	1.00E00
rhythmic excitation (GO:0043179)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
non-canonical Wnt signaling pathway (GO:0035567)	19	0	.24	-	 < 0.01	1.00E00	1.00E00
nucleoside salvage (GO:0043174)	7	0	.09	-	 < 0.01	1.00E00	1.00E00
regulation of kidney size (GO:0035564)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
nucleotide salvage (GO:0043173)	13	0	.16	-	 < 0.01	1.00E00	1.00E00
positive regulation of chromatin binding (GO:0035563)	8	0	.10	-	 < 0.01	1.00E00	1.00E00
negative regulation of chromatin binding (GO:0035562)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
peptide catabolic process (GO:0043171)	17	0	.21	-	 < 0.01	1.00E00	1.00E00
regulation of chromatin binding (GO:0035561)	14	0	.17	-	 < 0.01	1.00E00	1.00E00
energy coupled proton transmembrane transport, against electrochemical gradient (GO:0015988)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
proton motive force-driven ATP synthesis (GO:0015986)	19	0	.24	-	 < 0.01	1.00E00	1.00E00
ribosomal small subunit assembly (GO:0000028)	15	0	.19	-	 < 0.01	1.00E00	1.00E00
positive regulation of tight junction disassembly (GO:1905075)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ribosomal large subunit assembly (GO:0000027)	22	0	.27	-	 < 0.01	1.00E00	1.00E00
regulation of tight junction disassembly (GO:1905073)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cardiac jelly development (GO:1905072)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitotic spindle elongation (GO:0000022)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
cell envelope organization (GO:0043163)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
oxidative single-stranded RNA demethylation (GO:0035553)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043162)	24	0	.30	-	 < 0.01	1.00E00	1.00E00
oxidative single-stranded DNA demethylation (GO:0035552)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
protein initiator methionine removal involved in protein maturation (GO:0035551)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
allantois development (GO:1905069)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
L-proline biosynthetic process (GO:0055129)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of canonical Wnt signaling pathway involved in heart development (GO:1905068)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of canonical Wnt signaling pathway involved in heart development (GO:1905067)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of mitotic recombination (GO:0000019)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of canonical Wnt signaling pathway involved in heart development (GO:1905066)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of DNA recombination (GO:0000018)	99	0	1.23	-	 < 0.01	6.37E-01	1.00E00
positive regulation of vascular associated smooth muscle cell differentiation (GO:1905065)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of vascular associated smooth muscle cell differentiation (GO:1905064)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of vascular associated smooth muscle cell differentiation (GO:1905063)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
digestive system development (GO:0055123)	49	0	.61	-	 < 0.01	1.00E00	1.00E00
positive regulation of cardioblast proliferation (GO:1905062)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
single strand break repair (GO:0000012)	7	0	.09	-	 < 0.01	1.00E00	1.00E00
determination of left/right asymmetry in nervous system (GO:0035545)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043154)	41	0	.51	-	 < 0.01	1.00E00	1.00E00
negative regulation of SNARE complex assembly (GO:0035544)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
entrainment of circadian clock by photoperiod (GO:0043153)	21	0	.26	-	 < 0.01	1.00E00	1.00E00
positive regulation of SNARE complex assembly (GO:0035543)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
induction of bacterial agglutination (GO:0043152)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of SNARE complex assembly (GO:0035542)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
diadenosine tetraphosphate biosynthetic process (GO:0015966)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
diadenosine tetraphosphate metabolic process (GO:0015965)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
diadenosine polyphosphate catabolic process (GO:0015961)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
diadenosine polyphosphate biosynthetic process (GO:0015960)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
relaxation of cardiac muscle (GO:0055119)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
negative regulation of cardiac muscle contraction (GO:0055118)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of cardiac muscle contraction (GO:0055117)	33	0	.41	-	 < 0.01	1.00E00	1.00E00
positive regulation of base-excision repair (GO:1905053)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
mRNA transcription (GO:0009299)	37	0	.46	-	 < 0.01	1.00E00	1.00E00
regulation of base-excision repair (GO:1905051)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
GDP-mannose biosynthetic process (GO:0009298)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of metallopeptidase activity (GO:1905050)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
stress fiber assembly (GO:0043149)	14	0	.17	-	 < 0.01	1.00E00	1.00E00
sno(s)RNA processing (GO:0043144)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
peptide modification (GO:0031179)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
diadenosine polyphosphate metabolic process (GO:0015959)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of metallopeptidase activity (GO:1905049)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of metallopeptidase activity (GO:1905048)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
Golgi to secretory granule transport (GO:0055107)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of epithelium regeneration (GO:1905042)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of epithelium regeneration (GO:1905041)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
otic placode development (GO:1905040)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA replication, removal of RNA primer (GO:0043137)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
retrograde transport, plasma membrane to Golgi (GO:0035526)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
proline transmembrane transport (GO:0035524)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
protein K29-linked deubiquitination (GO:0035523)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
NAD transport (GO:0043132)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
monoubiquitinated histone H2A deubiquitination (GO:0035522)	27	0	.34	-	 < 0.01	1.00E00	1.00E00
monoubiquitinated histone deubiquitination (GO:0035521)	27	0	.34	-	 < 0.01	1.00E00	1.00E00
monoubiquitinated protein deubiquitination (GO:0035520)	31	0	.38	-	 < 0.01	1.00E00	1.00E00
rRNA methylation (GO:0031167)	23	0	.29	-	 < 0.01	1.00E00	1.00E00
metallo-sulfur cluster assembly (GO:0031163)	25	0	.31	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol catabolic process (GO:0031161)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
formate metabolic process (GO:0015942)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of membrane lipid metabolic process (GO:1905038)	8	0	.10	-	 < 0.01	1.00E00	1.00E00
autophagosome organization (GO:1905037)	66	0	.82	-	 < 0.01	1.00E00	1.00E00
positive regulation of antifungal innate immune response (GO:1905036)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of antifungal innate immune response (GO:1905035)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of antifungal innate immune response (GO:1905034)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of membrane repolarization during cardiac muscle cell action potential (GO:1905033)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of membrane repolarization during cardiac muscle cell action potential (GO:1905032)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of membrane repolarization during cardiac muscle cell action potential (GO:1905031)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
surfactant homeostasis (GO:0043129)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
protein K29-linked ubiquitination (GO:0035519)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of 1-phosphatidylinositol 4-kinase activity (GO:0043128)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
histone H2A monoubiquitination (GO:0035518)	15	0	.19	-	 < 0.01	1.00E00	1.00E00
regulation of 1-phosphatidylinositol 4-kinase activity (GO:0043126)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
oxidative RNA demethylation (GO:0035513)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
oxidative DNA demethylation (GO:0035511)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
coenzyme A catabolic process (GO:0015938)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
coenzyme A biosynthetic process (GO:0015937)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
coenzyme A metabolic process (GO:0015936)	15	0	.19	-	 < 0.01	1.00E00	1.00E00
positive regulation of membrane repolarization during ventricular cardiac muscle cell action potential (GO:1905026)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of membrane repolarization during ventricular cardiac muscle cell action potential (GO:1905025)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of membrane repolarization during ventricular cardiac muscle cell action potential (GO:1905024)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
response to pH (GO:0009268)	12	0	.15	-	 < 0.01	1.00E00	1.00E00
negative regulation of myosin-light-chain-phosphatase activity (GO:0035509)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
deoxyribonucleotide catabolic process (GO:0009264)	13	0	.16	-	 < 0.01	1.00E00	1.00E00
positive regulation of myosin-light-chain-phosphatase activity (GO:0035508)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of vascular permeability (GO:0043117)	11	0	.14	-	 < 0.01	1.00E00	1.00E00
regulation of myosin-light-chain-phosphatase activity (GO:0035507)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
negative regulation of vascular permeability (GO:0043116)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
ribonucleotide catabolic process (GO:0009261)	31	0	.38	-	 < 0.01	1.00E00	1.00E00
positive regulation of myosin light chain kinase activity (GO:0035505)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of vascular permeability (GO:0043114)	23	0	.29	-	 < 0.01	1.00E00	1.00E00
ribonucleotide biosynthetic process (GO:0009260)	106	0	1.32	-	 < 0.01	6.43E-01	1.00E00
regulation of myosin light chain kinase activity (GO:0035504)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
receptor clustering (GO:0043113)	21	0	.26	-	 < 0.01	1.00E00	1.00E00
metanephric part of ureteric bud development (GO:0035502)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
replication fork arrest (GO:0043111)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146)	32	0	.40	-	 < 0.01	1.00E00	1.00E00
anaphase-promoting complex-dependent catabolic process (GO:0031145)	16	0	.20	-	 < 0.01	1.00E00	1.00E00
proteasome localization (GO:0031144)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
lipopolysaccharide transport (GO:0015920)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
10-formyltetrahydrofolate catabolic process (GO:0009258)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
10-formyltetrahydrofolate biosynthetic process (GO:0009257)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
10-formyltetrahydrofolate metabolic process (GO:0009256)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
peptidoglycan catabolic process (GO:0009253)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
glucan catabolic process (GO:0009251)	7	0	.09	-	 < 0.01	1.00E00	1.00E00
glucan biosynthetic process (GO:0009250)	14	0	.17	-	 < 0.01	1.00E00	1.00E00
hypoxanthine salvage (GO:0043103)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
amino acid salvage (GO:0043102)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
purine-containing compound salvage (GO:0043101)	12	0	.15	-	 < 0.01	1.00E00	1.00E00
peroxisomal membrane transport (GO:0015919)	18	0	.22	-	 < 0.01	1.00E00	1.00E00
aminophospholipid transport (GO:0015917)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
fatty-acyl-CoA transport (GO:0015916)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
sister chromatid biorientation (GO:0031134)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of axon diameter (GO:0031133)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
phospholipid transport (GO:0015914)	61	0	.76	-	 < 0.01	1.00E00	1.00E00
long-chain fatty acid import across plasma membrane (GO:0015911)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
long-chain fatty acid import into peroxisome (GO:0015910)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of epithelial to mesenchymal transition involved in endocardial cushion formation (GO:1905007)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of epithelial to mesenchymal transition involved in endocardial cushion formation (GO:1905005)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
protein lipoylation (GO:0009249)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
glycolipid biosynthetic process (GO:0009247)	47	0	.58	-	 < 0.01	1.00E00	1.00E00
isopentenyl diphosphate biosynthetic process (GO:0009240)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
developmental induction (GO:0031128)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
long-chain fatty acid transport (GO:0015909)	20	0	.25	-	 < 0.01	1.00E00	1.00E00
fatty acid transport (GO:0015908)	30	0	.37	-	 < 0.01	1.00E00	1.00E00
sno(s)RNA 3'-end processing (GO:0031126)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
rRNA 3'-end processing (GO:0031125)	8	0	.10	-	 < 0.01	1.00E00	1.00E00
mRNA 3'-end processing (GO:0031124)	39	0	.48	-	 < 0.01	1.00E00	1.00E00
RNA 3'-end processing (GO:0031123)	80	0	.99	-	 < 0.01	1.00E00	1.00E00
cytoplasmic microtubule organization (GO:0031122)	45	0	.56	-	 < 0.01	1.00E00	1.00E00
snRNA pseudouridine synthesis (GO:0031120)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
siderophore metabolic process (GO:0009237)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cobalamin metabolic process (GO:0009235)	8	0	.10	-	 < 0.01	1.00E00	1.00E00
menaquinone biosynthetic process (GO:0009234)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
menaquinone metabolic process (GO:0009233)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
riboflavin biosynthetic process (GO:0009231)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tRNA pseudouridine synthesis (GO:0031119)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
rRNA pseudouridine synthesis (GO:0031118)	7	0	.09	-	 < 0.01	1.00E00	1.00E00
positive regulation of microtubule depolymerization (GO:0031117)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of microtubule polymerization (GO:0031116)	19	0	.24	-	 < 0.01	1.00E00	1.00E00
negative regulation of microtubule polymerization (GO:0031115)	8	0	.10	-	 < 0.01	1.00E00	1.00E00
regulation of microtubule polymerization (GO:0031113)	34	0	.42	-	 < 0.01	1.00E00	1.00E00
positive regulation of microtubule polymerization or depolymerization (GO:0031112)	22	0	.27	-	 < 0.01	1.00E00	1.00E00
thiamine diphosphate biosynthetic process (GO:0009229)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nucleotide-sugar biosynthetic process (GO:0009226)	15	0	.19	-	 < 0.01	1.00E00	1.00E00
nucleotide-sugar metabolic process (GO:0009225)	25	0	.31	-	 < 0.01	1.00E00	1.00E00
CMP biosynthetic process (GO:0009224)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
pyrimidine deoxyribonucleotide catabolic process (GO:0009223)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
pyrimidine ribonucleotide catabolic process (GO:0009222)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
pyrimidine ribonucleotide biosynthetic process (GO:0009220)	17	0	.21	-	 < 0.01	1.00E00	1.00E00
septin ring organization (GO:0031106)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
